SiII* 1194.5002 0.727  4.08E9  M03g
SiIII   1206.5000   1.660E+00   2.480E+09 M03g
SiIV    1393.7550   5.280E-01   8.800E+08 M03g w:Griesmann Prochaska
SiIV    1402.7700   2.620E-01   8.620E+08 M03g w:Griesmann Prochaska
P I   1774.9487 0.169   2.38e8  30.973762 M03g
P I   1782.8291 0.113   2.38e8  M03g
P II    1532.5330   7.610E-03   4.770E+06 M03g
P II    1301.8740   1.730E-02   4.820E+07 M03g
P II    1152.8180   2.360E-01   1.230E+09 M03g
P II     963.8010   1.458E+00   4.140E+09 M03g
P II   961.0412 0.3489  5.09e9 M03g
P III 1334.8132 0.0282  6.32E7  M03g
P III  997.9996 0.1117  2.220E9  M03g
P III    917.1180   4.049E-01   4.780E+09 M03g
P III    913.9680   2.031E-01   4.790E+09 M03g
P IV   950.6569 1.490  3.67e9  M03g
P V     1128.0080   2.345E-01   1.220E+09 M03g
P V     1117.9770   4.732E-01   1.260E+09 M03g
S I     1807.3110   1.105E-01   5.330E+08 32.066 M03g Prochaska
S I   1473.9943 0.0828 1.82e8  M03
S I   1295.6531 0.0870 3.46e8  M03
S II    1259.5190   1.624E-02   4.650E+07 M03g
S II    1253.8110   1.088E-02   4.620E+07 M03g
S II    1250.5840   5.453E-03   4.630E+07 M03g
S III   1190.2080   2.217E-02   6.650E+07 M03g
S III   1012.5020   3.550E-02   2.810E+08 M03g
S IV    1062.6620   3.999E-02   1.690E+08 M03g
S VI     944.5230   2.181E-01   1.610E+09 M03g
S VI     933.3780   4.414E-01   1.670E+09 M03g
ClI     1347.2400   1.186E-01   6.620E+08 35.4527 M03g Prochaska
ArI     1066.6600   6.747E-02   1.320E+08 39.948 M03g Prochaska
ArI     1048.2199   2.628E-01   3.180E+07 M03g
CaI     4227.9180   1.940E+00   2.200E+08 40.078 M03g Prochaska
CaI   2276.169 0.0661   2.84e7  M03g
CaII    3934.7770   6.500E-01   1.444E+08 M03g
CaII    3969.5910   3.220E-01   1.409E+08 M03g
TiII    3384.7400   3.400E-01   1.750E+08 47.88 M03g Prochaska
TiII    3242.9290   1.832E-01   2.440E+08 M03g
TiII    3230.1310   5.860E-02   2.440E+08 M03g
TiII    3073.8770   1.091E-01   2.560E+08 M03g
TiII  3067.2379 0.0489 2.500e8  M03g
TiII    1910.9380   9.800E-02   1.430E+08 M03g
TiII    1910.6000   2.020E-01   4.170E+08 M03g
TiIII 1298.697 0.0964 6.35e8  M03
TiIII 1295.884 0.0418 1.66e8  M03
CrII    2066.1610   5.150E-02   4.170E+08 51.9961 M03g w:MN 300 131 Prochaska
CrII    2062.2340   7.800E-02   4.060E+08 M03g w:MN 300 131 Prochaska
CrII    2056.2539   1.050E-01   4.070E+08 M03g w:MN 300 131 Prochaska
MnII    2606.4620   1.927E-01   2.720E+08 54.93805 M03g Prochaska
MnII    2594.4990   2.710E-01   2.780E+08 M03g
MnII    2576.8770   3.508E-01   2.820E+08 M03g
MnII  1201.118 0.121 7.85e8 M03
MnII    1199.3910   1.059E-01   7.850E+08 M03
MnII    1197.1840   1.566E-01   7.840E+08 M03
MnII  1162.015 0.0102 3.90e7 M03
FeI     3720.9930   4.119E-02   1.630E+07 55.847 M03g Prochaska
FeI     3021.5189   1.039E-01   1.690E+08 M03g
FeI     2967.7650   4.380E-02   1.270E+08 M03g
FeI   2719.8329 0.122   1.75E8  M03g
FeI     2523.6080   2.790E-01   3.850E+08 M03g
FeI     2501.8860   4.960E-02   3.850E+08 M03g
FeI     2484.0210   5.570E-01   5.000E+08 M03g
FeI     2463.3920   5.320E-02   5.000E+08 M03g
FeI     2167.4530   1.500E-01   2.740E+08 M03
FeII    2600.1729   2.390E-01   2.700E+08 M03g w:JOPTScAmB 8 2028 f:ApJ 452 275 Prochaska
FeII    2586.6500   6.910E-02   2.720E+08 M03g w:JOPTScAmB 8 2028 f:ApJ 452 275 Prochaska
FeII    2382.7650   3.200E-01   3.130E+08 M03g
FeII  2374.4612 0.0313 3.09E8 M03g
FeII  2367.5905 0.2.16e-5  3.07e8 M03g
FeII    2344.2140   1.140E-01   2.680E+08 M03g f:Cardelli ApJ 452 275 Prochaska
FeII  2260.7805 0.00244 2.58e8   M03g
FeII  2234.4472 2.52e-5 2.75e8 M03g
FeII  2249.8768 0.001821 3.31e8 M03g
FeII    1901.7730   1.009E-04   1.610E+05 M03
FeII    1611.2005   1.360E-03   2.860E+08 M03g w:JOPTScAmB 8 2028 Prochaska
FeII    1608.4511   5.800E-02   2.740E+08 M03 w:JOPTScAmB 8 2028 Prochaska
FeII  1588.6876 1.48e-4 4.89e5  M03
FeII    1260.5330   2.500E-02   1.260E+08 M03
FeII    1144.9379   1.060E-01   3.520E+08 M03
FeII    1143.2260   1.770E-02   9.810E+07 M03
FeII    1142.3656   4.200E-03   2.560E+07 M03
FeII    1133.6650   5.500E-03   3.060E+07 M03
FeII  1127.0984 1.12e-3 5.89e6 M03
FeII    1125.4478   1.600E-02   1.030E+08 M03
FeII    1121.9748   2.020E-02   1.920E+08 M03
FeII    1112.0480   6.290E-03   2.000E+07 M03
FeII    1106.3596   1.500E-03   2.150E+06 M03
FeII    1096.8769   3.240E-02   2.260E+08 M03
FeII  1083.4204 0.002800  2.000E8  M03
FeII    1081.8748   1.400E-02   2.000E+08 M03
FeII    1063.9718   3.718E-03   3.500E+07 M03
FeII    1063.1760   6.000E-02   3.230E+08 M03
FeII    1062.1520   3.800E-03   1.720E+07 M03
FeII    1055.2617   7.514E-03   4.610E+07 M03
FeIII 1214.562 2.39e-4  1.39e6 M03
FeIII   1122.5260   5.390E-02   3.700E+08 M03
CoII  2059.4756 0.00751  2.78e8  58.93320 M03g
CoII  2026.4122 0.0125   3.03e8 M03g
CoII    2012.1664   3.679E-02   3.450E+08 M03g
CoII  1941.2852 0.0340   4.35e8  M03g
CoII    1574.5503   2.500E-02   6.730E+07 M03
CoII  1572.6489 0.0120   4.16e7  M03
CoII  1552.7624 0.0116   3.21e7  M03
CoII  1480.9546  0.0119  4.65e7   M03
CoII    1466.2120   3.100E-02   3.780E+07 M03
CoII  1424.7866  0.0109  3.58e7 M03
NiI   2320.7468 0.685  6.94E8   58.69    M03
NiI   2311.669 0.376500  4.700E8   M91(M03-no f)
NiII  1751.9157 0.027700  3.70E8  M03g
NiII  1741.5531 0.042700  5.00E8 M03g
NiII  1709.6042 0.0324    4.35e8  M03g
NiII    1703.4050   6.000E-03   5.000E+08 M03g
NiII  1502.148 0.01330   3.932E7   M91 prob wrong
NiII  1467.756 0.00990  2.30E7  M03
NiII  1467.259 0.00630  2.93E7  M03
NiII  1454.842 0.0323  1.02E8   M03
NiII  1393.324 0.0101  3.47E7   M03
NiII    1370.1310   7.690E-02   4.100E+08 M03
NiII    1317.2170   7.786E-02   4.205E+08 Approx Sara Prochaska
CuII  1367.9509 0.179 6.23e8 63.546  M03g
CuII    1358.7730   3.803E-01   7.200E+08 M03g
ZnII    2062.6640   2.560E-01   3.860E+08 65.39 M03g w:MN 300 131 Prochaska
ZnII    2026.1360   4.890E-01   4.070E+08 M03g w:MN 300 131 Prochaska
GeII    1602.4863   1.436E-01   9.906E+08 72.61 M91 Prochaska
GaII    1414.4020   1.800E+00   1.970E+09 69.723 M03g Prochaska
end   0000.000 0.000000  0.00000   0.000 Terminator

